1 0 17 0 0 0 0 19 0 0 0 0 0 16 0 0 0 28 0 0 32 21 0 0 0 0 0 0 0 155 0 0 0 127 0 0 0 0 289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
17 20 16 306 32 21 127 28 174 19 21 11 16 0 208 397 0 0 395 452 0 0 289 352 0 0 258 189 0 88 900 40 562 39 2112 129 92 2471 124 2 4 8 2 5 3 3 5 4 1 45 71 206 0 67 93 231 0 35 54 222 3 52 70 244 3 43 77 124 0 54 99 134 0 37 60 178 1 48 77 196 1 35 1 3 28 29 1 5 28 2 10 14 6 14 7 2 6 34 2 3 13 31 2 2 21 48 6 1 20 45 8 1 24 2 23 8 27 0 0 4 0 2 3 0 0 5 2 2 0 
3 1 18 1 0 0 1 15 0 0 0 3 1 19 0 0 0 21 0 0 19 17 0 0 0 0 0 0 0 93 0 0 0 138 0 0 0 0 235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 36 18 0 0 30 15 0 13 0 0 0 0 0 0 0 17 18 0 0 0 15 0 0 17 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 1 20 0 0 1 0 16 0 0 0 1 1 19 0 0 0 21 0 0 19 17 0 0 0 0 0 0 0 108 0 0 0 156 0 0 0 0 268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 18 18 0 0 15 15 0 13 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 17 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19 18 19 305 19 17 156 21 139 12 16 17 18 6 220 221 11 12 243 213 23 12 191 242 12 5 192 214 5 55 631 44 770 50 2332 104 52 2184 116 1 1 4 1 2 1 1 3 2 0 79 35 97 3 88 36 104 3 85 75 178 2 94 87 168 2 47 33 160 3 50 33 167 3 53 69 191 3 57 81 186 3 23 3 3 24 4 2 27 3 4 27 23 0 23 7 0 7 13 0 2 36 12 2 2 33 20 0 3 49 20 0 5 48 2 36 0 34 0 0 3 1 2 0 1 2 2 5 3 3 
1 2 18 0 17 19 0 16 0 0 1 0 1 19 0 0 19 21 0 0 19 17 0 0 21 17 0 0 19 108 0 138 0 138 0 253 108 0 253 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 12 0 18 0 13 0 15 0 13 0 0 0 17 0 0 0 17 0 18 0 17 0 15 0 17 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 16 0 26 20 0 18 0 0 1 0 1 16 0 0 49 28 0 0 28 19 0 0 29 37 0 0 18 141 0 117 0 111 0 291 164 0 261 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 15 0 11 0 23 0 15 0 17 2 2 0 11 4 4 0 11 0 11 0 15 0 15 0 14 0 4 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 2 6 0 26 19 0 5 0 0 2 0 2 13 0 0 32 16 0 0 0 2 0 0 30 30 0 0 27 10 0 114 0 12 0 270 161 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 2 0 8 0 12 0 8 0 0 16 16 0 10 21 16 0 4 0 16 0 10 0 16 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 3 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 2 0 
6 8 13 42 21 18 12 16 23 5 6 4 3 12 54 83 5 20 66 83 21 14 77 33 16 5 72 28 10 103 32 92 11 53 80 213 118 113 157 1 4 0 2 1 0 1 2 0 2 10 39 11 0 18 52 16 3 22 16 22 3 30 22 24 2 22 31 8 0 27 36 16 3 22 31 7 1 30 36 8 3 4 3 3 7 0 6 1 5 6 1 0 0 0 0 0 1 4 3 1 3 8 3 1 1 2 6 0 3 4 6 0 4 0 4 6 4 0 0 2 0 0 2 2 1 4 1 2 0 
1 0 2 0 0 0 0 1 0 0 0 0 0 33 0 0 0 34 0 0 16 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
